"v" "change" "grupos"
"1" 0.276235695154614 0 5
"2" 0.276235695154614 4 5
"3" 0.278995211427644 8 5
"4" 0.278995211427644 12 5
"5" 0.277980683386089 16 5
"6" 0.267429591753916 20 6
"7" 0.267429591753916 24 6
"8" 0.280456131807483 28 5
"9" 0.278832886940995 30 4
"10" 0.268362957552147 32 4
"11" 0.265441116792468 34 5
"12" 0.268931093255418 38 5
"13" 0.26897167437708 40 5
"14" 0.268931093255418 42 5
"15" 0.268525282038796 46 6
"16" 0.272055839623407 48 4
"17" 0.267307848388929 50 5
"18" 0.262965668371074 54 5
"19" 0.256229202175148 58 6
"20" 0.267064361658956 58 5
"21" 0.272502231961691 60 4
"22" 0.269418066715364 62 4
"23" 0.268728187647107 64 6
"24" 0.263412060709358 66 6
"25" 0.267104942780618 66 5
"26" 0.259881503124746 68 6
"27" 0.259881503124746 68 5
"28" 0.268890512133755 68 5
"29" 0.267226686145605 72 4
"30" 0.268890512133755 70 5
"31" 0.263006249492736 72 5
"32" 0.263209155101047 74 5
"33" 0.263209155101047 74 5
"34" 0.260165570976382 74 5
"35" 0.268768768768769 76 5
"36" 0.261464166869572 78 4
"37" 0.262032302572843 78 5
"38" 0.262032302572843 78 5
"39" 0.255214674133593 80 5
"40" 0.261383004626248 82 5
"41" 0.264386007629251 84 4
