,Ants,Bee1 ,Bee14,Bee2,Bee3,Bee4,Bee5,Bee6,Bee7,Beetle1,Beetle2,Beetle3,Butterfly2,Fly1,Fly11,Fly13,Fly15,Fly4,Fly5,Fly7,Fly8,Fly9,Unknown,Wasp1,Wasp5,Chew,Patch.skel,Sticky.skel,Con.skel,Surf.abr,Con.min,Lin.min,Ama.roj,Ss.wri,Gall,Hole,B.darwinii,E.coccineum,L.hirsuta,M.boaria,M.chubutensis,R.cucullatum,R.magellanica,S.patagonicus,A.microphylla,G.mucronata,N.antarctica
Ants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952381,0.00261463,0.019047619,0,0.025323374,0,0.000166667,0.016602108,0,0,0
Bee1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367861305,0.225276385,0.015689245,0,0,0,0.00148555,0.057021705,0,0,0
Bee14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260417,0,0,0,0
Bee2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044636019,0.031195887,0,0,0,0,0.023899132,0,0,0
Bee3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282335034,0.010416667,0,0,0,0,0,0,0,0
Bee4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006802721,0.004545455,0,0,0,0,0,0,0,0
Bee5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952381,0.014285714,0.016875,0,0,0,0.076376713,0.019034845,0,0,0
Bee6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024487587,0.010416667,0,0,0,0.000748503,0,0,0,0
Bee7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0
Beetle1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001205053,0,0,0.001302083,0,0,0.000178572,0,0,0
Beetle2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007440476,0,0,0,0,0,0,0,0,0
Beetle3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006906548,0,0,0,0,0,0.000488281,0,0,0
Butterfly2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001106195,0,0,0,0,0,0
Fly1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000347222,0,0.002847806,0.020438636,0.049935362,0.00952381,0.011473152,0.006475937,0,0,0
Fly11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0
Fly13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005054466,0,0,0,0
Fly15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036324786,0,0,0,0,0,0.003228597,0,0,0,0
Fly4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007099567,0,0,0,0,0.012347789,0,0,0,0
Fly5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024340623,0,0,0,0,0,0.004011818,0.0025,0,0,0
Fly7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649351,0.016666667,0.010748124,0,0,0.094686621,0.013148148,0,0,0
Fly8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017724868,0,0,0,0,0.001666667,0.001302083,0,0,0
Fly9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0.010416667,0,0.00750115,0.001994243,0,0,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071995465,0.000707547,0,0,0,0,0,0,0,0
Wasp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001519069,0,0.001515152,0.003307327,0,0,0,0,0,0
Wasp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0
Chew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085714286,0.029761905,0.095238095,0.025974026,0.077922078,0,0.081632653,0,0,0.08441558
Patch.skel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042857143,0.071428571,0,0,0,0.058441559,0.428571429,0,0,0,0.05844156
Sticky.skel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,0,0,0,0,0,0.01298701
Con.skel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029761905,0.015873016,0,0.058441559,0,0,0,0,0.1233766
Surf.abr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0.25,0,0.035714286,0,0
